product_name,product_type,purchase_price,unit_price,sku,stock_status,current_stock,discount,discount_type,product_images,additional_images,category,sub_category,standard_delivery_time,weight,height,length,width,product_description,meta_tags_description,rating,review_count,seller_name,source_site,source_url,product_id,scraped_at,original_title,variants
"WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black WH1000XM4",Single Product,158.4,198.0,AMZ-SON-0001,In Stock,89,0.0,%,['https://m.media-amazon.com/images/I/61oqO1AMbdL._AC_UY218_.jpg'],[],Electronics,Smartphones,24 hr(s),0.0,0.0,0.0,0.0,"Quality WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black WH1000XM4 from Amazon with fast shipping and customer support","Buy WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black WH1000XM4 from Amazon at competitive prices",4.6,475,Amazon,Amazon,https://www.amazon.com/Sony-WH-1000XM4-Canceling-Headphones-phone-call/dp/B0863TXGM3/ref=sr_1_1?dib=eyJ2IjoiMSJ9.am0GGCHuvLU3GpKLmg0bf5eshdP20eGovEuu1bczhqQWNS2OkYNS9L_SMQJL8l7JMdH7VMu3v7jrdQ9iqsyDS767RY8QoQJ-W7HC-_7cRYk1HY0AWh3cXYFWSJ38QjdcOEEaX46PwVxg7JNswEFlcSc24VJj9vXgNo74wb7Qir00I8jhF_le5FFnAiP6wMkYOSEgDHpugF6g_JfKOqNRXnZKqpJw-1rOFj0q0E6Cq7o.bRc3n6QhX0XjLcdn3zSsHg_YqglJvpksZSk5mTdKI2s&dib_tag=se&keywords=sony&qid=1756500764&sr=8-1,amazon_sony_1,2025-08-30T01:52:46.653253,"WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black WH1000XM4","[{'storage': '64GB', 'price': 185.83, 'stock': 21, 'sku': 'STORAGE-64GB'}, {'storage': '128GB', 'price': 187.61, 'stock': 10, 'sku': 'STORAGE-128GB'}, {'storage': '256GB', 'price': 187.61, 'stock': 5, 'sku': 'STORAGE-256GB'}]"
"WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone and Alexa Built-in, Black New",Single Product,576.0,720.0,AMZ-SON-0002,In Stock,100,0.0,%,['https://m.media-amazon.com/images/I/51rpbVmi9XL._AC_UY218_.jpg'],[],Electronics,Smartphones,24 hr(s),0.0,0.0,0.0,0.0,"Quality WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone and Alexa Built-in, Black New from Amazon with fast shipping and customer support","Buy WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone and Alexa Built-in, Black New from Amazon at competitive prices",4.4,11835,Amazon,Amazon,https://www.amazon.com/Sony-WH-CH720N-Canceling-Headphones-Microphone/dp/B0BS1QCFHX/ref=sr_1_2?dib=eyJ2IjoiMSJ9.am0GGCHuvLU3GpKLmg0bf5eshdP20eGovEuu1bczhqQWNS2OkYNS9L_SMQJL8l7JMdH7VMu3v7jrdQ9iqsyDS767RY8QoQJ-W7HC-_7cRYk1HY0AWh3cXYFWSJ38QjdcOEEaX46PwVxg7JNswEFlcSc24VJj9vXgNo74wb7Qir00I8jhF_le5FFnAiP6wMkYOSEgDHpugF6g_JfKOqNRXnZKqpJw-1rOFj0q0E6Cq7o.bRc3n6QhX0XjLcdn3zSsHg_YqglJvpksZSk5mTdKI2s&dib_tag=se&keywords=sony&qid=1756500764&sr=8-2,amazon_sony_2,2025-08-30T01:52:53.572087,"WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone and Alexa Built-in, Black New","[{'storage': '64GB', 'price': 49.06, 'stock': 14, 'sku': 'STORAGE-64GB'}, {'storage': '128GB', 'price': 49.54, 'stock': 21, 'sku': 'STORAGE-128GB'}, {'storage': '256GB', 'price': 49.54, 'stock': 16, 'sku': 'STORAGE-256GB'}]"
"INZONE H9 II Wireless Noise Canceling Gaming Headset, WH-1000XM6 Drivers, Lightweight, Detachable Cardoid AI Mic, 2.4GHz and Bluetooth, Soft Case, for PC, PS5, Switch, and Mobile, White",Single Product,279.2,349.0,AMZ-SON-0003,In Stock,39,0.0,%,['https://m.media-amazon.com/images/I/41hsCt3BJiL._AC_UY218_.jpg'],[],Toys,Educational,24 hr(s),0.0,0.0,0.0,0.0,"Quality INZONE H9 II Wireless Noise Canceling Gaming Headset, WH-1000XM6 Drivers, Lightweight, Detachable Cardoid AI Mic, 2.4GHz and Bluetooth, Soft Case, for PC, PS5, Switch, and Mobile, White from Amazon with fast shipping and customer support","Buy INZONE H9 II Wireless Noise Canceling Gaming Headset, WH-1000XM6 Drivers, Lightweight, Detachable Cardoid AI Mic, 2.4GHz and Bluetooth, Soft Case, for PC, PS5, Switch, and Mobile, White from Amazon at competitive prices",3.5,345,Amazon,Amazon,https://www.amazon.com/Sony-Canceling-WH-1000XM6-Lightweight-Detachable/dp/B0FJ2YPTSQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.am0GGCHuvLU3GpKLmg0bf5eshdP20eGovEuu1bczhqQWNS2OkYNS9L_SMQJL8l7JMdH7VMu3v7jrdQ9iqsyDS767RY8QoQJ-W7HC-_7cRYk1HY0AWh3cXYFWSJ38QjdcOEEaX46PwVxg7JNswEFlcSc24VJj9vXgNo74wb7Qir00I8jhF_le5FFnAiP6wMkYOSEgDHpugF6g_JfKOqNRXnZKqpJw-1rOFj0q0E6Cq7o.bRc3n6QhX0XjLcdn3zSsHg_YqglJvpksZSk5mTdKI2s&dib_tag=se&keywords=sony&qid=1756500764&sr=8-3,amazon_sony_3,2025-08-30T01:52:59.315794,"INZONE H9 II Wireless Noise Canceling Gaming Headset, WH-1000XM6 Drivers, Lightweight, Detachable Cardoid AI Mic, 2.4GHz and Bluetooth, Soft Case, for PC, PS5, Switch, and Mobile, White",[]
"WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone and up to 50 Hours Battery Life with Quick Charging, Black",Single Product,416.0,520.0,AMZ-SON-0004,In Stock,78,0.0,%,['https://m.media-amazon.com/images/I/41lArSiD5hL._AC_UY218_.jpg'],[],Electronics,Smartphones,24 hr(s),0.0,0.0,0.0,0.0,"Quality WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone and up to 50 Hours Battery Life with Quick Charging, Black from Amazon with fast shipping and customer support","Buy WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone and up to 50 Hours Battery Life with Quick Charging, Black from Amazon at competitive prices",4.5,23894,Amazon,Amazon,https://www.amazon.com/Sony-WH-CH520-Headphones-Bluetooth-Microphone/dp/B0BS1PRC4L/ref=sr_1_4?dib=eyJ2IjoiMSJ9.am0GGCHuvLU3GpKLmg0bf5eshdP20eGovEuu1bczhqQWNS2OkYNS9L_SMQJL8l7JMdH7VMu3v7jrdQ9iqsyDS767RY8QoQJ-W7HC-_7cRYk1HY0AWh3cXYFWSJ38QjdcOEEaX46PwVxg7JNswEFlcSc24VJj9vXgNo74wb7Qir00I8jhF_le5FFnAiP6wMkYOSEgDHpugF6g_JfKOqNRXnZKqpJw-1rOFj0q0E6Cq7o.bRc3n6QhX0XjLcdn3zSsHg_YqglJvpksZSk5mTdKI2s&dib_tag=se&keywords=sony&qid=1756500764&sr=8-4,amazon_sony_4,2025-08-30T01:53:06.765621,"WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone and up to 50 Hours Battery Life with Quick Charging, Black","[{'storage': '64GB', 'price': 114.71, 'stock': 19, 'sku': 'STORAGE-64GB'}, {'storage': '128GB', 'price': 115.82, 'stock': 14, 'sku': 'STORAGE-128GB'}, {'storage': '256GB', 'price': 115.82, 'stock': 13, 'sku': 'STORAGE-256GB'}]"
"WH-1000XM6 The Best Wireless Noise Canceling Headphones, HD NC Processor QN3, 12 Microphones, Adaptive NC Optimizer, Mastered by Engineers, Studio-Quality, 30-Hour Battery, Black",Single Product,358.4,448.0,AMZ-SON-0005,In Stock,84,0.0,%,['https://m.media-amazon.com/images/I/61nGlYFDZNL._AC_UY218_.jpg'],[],Electronics,Smartphones,24 hr(s),0.0,0.0,0.0,0.0,"Quality WH-1000XM6 The Best Wireless Noise Canceling Headphones, HD NC Processor QN3, 12 Microphones, Adaptive NC Optimizer, Mastered by Engineers, Studio-Quality, 30-Hour Battery, Black from Amazon with fast shipping and customer support","Buy WH-1000XM6 The Best Wireless Noise Canceling Headphones, HD NC Processor QN3, 12 Microphones, Adaptive NC Optimizer, Mastered by Engineers, Studio-Quality, 30-Hour Battery, Black from Amazon at competitive prices",4.4,787,Amazon,Amazon,https://www.amazon.com/Sony-WH-1000XM6-Headphones-Microphones-Studio-Quality/dp/B0F3PQHWTZ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.am0GGCHuvLU3GpKLmg0bf5eshdP20eGovEuu1bczhqQWNS2OkYNS9L_SMQJL8l7JMdH7VMu3v7jrdQ9iqsyDS767RY8QoQJ-W7HC-_7cRYk1HY0AWh3cXYFWSJ38QjdcOEEaX46PwVxg7JNswEFlcSc24VJj9vXgNo74wb7Qir00I8jhF_le5FFnAiP6wMkYOSEgDHpugF6g_JfKOqNRXnZKqpJw-1rOFj0q0E6Cq7o.bRc3n6QhX0XjLcdn3zSsHg_YqglJvpksZSk5mTdKI2s&dib_tag=se&keywords=sony&qid=1756500764&sr=8-5,amazon_sony_5,2025-08-30T01:53:11.493640,"WH-1000XM6 The Best Wireless Noise Canceling Headphones, HD NC Processor QN3, 12 Microphones, Adaptive NC Optimizer, Mastered by Engineers, Studio-Quality, 30-Hour Battery, Black","[{'storage': '64GB', 'price': 140.62, 'stock': 25, 'sku': 'STORAGE-64GB'}, {'storage': '128GB', 'price': 141.97, 'stock': 21, 'sku': 'STORAGE-128GB'}, {'storage': '256GB', 'price': 141.97, 'stock': 6, 'sku': 'STORAGE-256GB'}]"
"Samsung Galaxy Tab A9 Plus 11 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable, Kids Friendly Design, US Version, 2024, Silver",Single Product,127.2,159.0,AMZ-TAB-0001,In Stock,96,0.0,%,['https://m.media-amazon.com/images/I/61h+qeD-qfL._AC_UY218_.jpg'],[],Electronics,Smartphones,24 hr(s),0.0,0.0,0.0,0.0,"Quality Samsung Galaxy Tab A9 Plus 11 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable, Kids Friendly Design, US Version, 2024, Silver from Amazon with fast shipping and customer support","Buy Samsung Galaxy Tab A9 Plus 11 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable, Kids Friendly Design, US Version, 2024, Silver from Amazon at competitive prices",4.4,133,Amazon,Amazon,https://www.amazon.com/SAMSUNG-Android-Speakers-Upgraded-Chipset/dp/B0CLFH7CCV/ref=sr_1_1?dib=eyJ2IjoiMSJ9.4VirNKRKWfSWgTSts3uKc0ZQx_IY2rpqfPFM3DPtkatpEZcD3fb4LHMZMFwNRMGA0ahWIWi3w-k1EIPgNWgUoke4gciyxDTVA5-lJ8I-GhbkUSybgMh7ZRQGybddrKYmI_Tl3S8WOXb4wpLXxCt68c3-TqSHHhWfmHFHAXB6wKyhlop0txpPpe3RNFRRVWoL_QQ8MeoGV5lNng9G5w1V1a9lwQN3HVs9_JAZUtHtRy8.ST9bmpAaEoWp2ImI3uCB0p2hgz1IV-1GSQF32zlXqZQ&dib_tag=se&keywords=tablet&qid=1757604728&sr=8-1,amazon_tablet_1,2025-09-11T20:32:10.078033,"Samsung Galaxy Tab A9 Plus 11 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable, Kids Friendly Design, US Version, 2024, Silver","[{'storage': '64GB', 'price': 139.02, 'stock': 24, 'sku': 'STORAGE-64GB'}, {'storage': '128GB', 'price': 140.36, 'stock': 15, 'sku': 'STORAGE-128GB'}, {'storage': '256GB', 'price': 140.36, 'stock': 17, 'sku': 'STORAGE-256GB'}]"
"Lenovo Tab M11, 11 Display, MediaTek Helio G88 Octa-Core, 4GB RAM, 128GB SSD, 1920x1200 px, Ambient Light-Sensor, 10 Hour Battery, Comes wFolio Case, Luna Grey",Single Product,146.4,183.0,AMZ-TAB-0002,In Stock,37,0.0,%,['https://m.media-amazon.com/images/I/51Z2kw-gFVL._AC_UY218_.jpg'],[],Electronics,General,24 hr(s),0.0,0.0,0.0,0.0,"Quality Lenovo Tab M11, 11 Display, MediaTek Helio G88 Octa-Core, 4GB RAM, 128GB SSD, 1920x1200 px, Ambient Light-Sensor, 10 Hour Battery, Comes wFolio Case, Luna Grey from Amazon with fast shipping and customer support","Buy Lenovo Tab M11, 11 Display, MediaTek Helio G88 Octa-Core, 4GB RAM, 128GB SSD, 1920x1200 px, Ambient Light-Sensor, 10 Hour Battery, Comes wFolio Case, Luna Grey from Amazon at competitive prices",4.5,812,Amazon,Amazon,https://www.amazon.com/Lenovo-MediaTek-Octa-Core-1920x1200-Light-Sensor/dp/B0CQMGKBK9/ref=sr_1_2?dib=eyJ2IjoiMSJ9.4VirNKRKWfSWgTSts3uKc0ZQx_IY2rpqfPFM3DPtkatpEZcD3fb4LHMZMFwNRMGA0ahWIWi3w-k1EIPgNWgUoke4gciyxDTVA5-lJ8I-GhbkUSybgMh7ZRQGybddrKYmI_Tl3S8WOXb4wpLXxCt68c3-TqSHHhWfmHFHAXB6wKyhlop0txpPpe3RNFRRVWoL_QQ8MeoGV5lNng9G5w1V1a9lwQN3HVs9_JAZUtHtRy8.ST9bmpAaEoWp2ImI3uCB0p2hgz1IV-1GSQF32zlXqZQ&dib_tag=se&keywords=tablet&qid=1757604728&sr=8-2,amazon_tablet_2,2025-09-11T20:32:17.824377,"Lenovo Tab M11, 11 Display, MediaTek Helio G88 Octa-Core, 4GB RAM, 128GB SSD, 1920x1200 px, Ambient Light-Sensor, 10 Hour Battery, Comes wFolio Case, Luna Grey",[]
"Tablet 2025 Worlds First Android 16 Tablet with Gemini AI, 11 Inch FHD Display, 24GB RAM 128GB ROM 2TB TF, T7280 CPU13MP Camera, 8000mAh, Widevine L1, 2 in 1 Tablets with Keyboard Mouse Stylus",Single Product,183.2,229.0,AMZ-TAB-0003,In Stock,30,0.0,%,['https://m.media-amazon.com/images/I/81G6Hlx6xpL._AC_UY218_.jpg'],[],Electronics,Tablets,24 hr(s),0.0,0.0,0.0,0.0,"Quality Tablet 2025 Worlds First Android 16 Tablet with Gemini AI, 11 Inch FHD Display, 24GB RAM 128GB ROM 2TB TF, T7280 CPU13MP Camera, 8000mAh, Widevine L1, 2 in 1 Tablets with Keyboard Mouse Stylus from Amazon with fast shipping and customer support","Buy Tablet 2025 Worlds First Android 16 Tablet with Gemini AI, 11 Inch FHD Display, 24GB RAM 128GB ROM 2TB TF, T7280 CPU13MP Camera, 8000mAh, Widevine L1, 2 in 1 Tablets with Keyboard Mouse Stylus from Amazon at competitive prices",4.5,122,Amazon,Amazon,https://www.amazon.com/Android-Display-8000mAh-Widevine-Keyboard/dp/B0FDWT3MXK/ref=sr_1_3?dib=eyJ2IjoiMSJ9.4VirNKRKWfSWgTSts3uKc0ZQx_IY2rpqfPFM3DPtkatpEZcD3fb4LHMZMFwNRMGA0ahWIWi3w-k1EIPgNWgUoke4gciyxDTVA5-lJ8I-GhbkUSybgMh7ZRQGybddrKYmI_Tl3S8WOXb4wpLXxCt68c3-TqSHHhWfmHFHAXB6wKyhlop0txpPpe3RNFRRVWoL_QQ8MeoGV5lNng9G5w1V1a9lwQN3HVs9_JAZUtHtRy8.ST9bmpAaEoWp2ImI3uCB0p2hgz1IV-1GSQF32zlXqZQ&dib_tag=se&keywords=tablet&qid=1757604728&sr=8-3,amazon_tablet_3,2025-09-11T20:32:22.946336,"Tablet 2025 Worlds First Android 16 Tablet with Gemini AI, 11 Inch FHD Display, 24GB RAM 128GB ROM 2TB TF, T7280 CPU13MP Camera, 8000mAh, Widevine L1, 2 in 1 Tablets with Keyboard Mouse Stylus","[{'storage': '64GB', 'price': 73.73, 'stock': 21, 'sku': 'STORAGE-64GB'}, {'storage': '128GB', 'price': 74.44, 'stock': 25, 'sku': 'STORAGE-128GB'}, {'storage': '256GB', 'price': 74.44, 'stock': 7, 'sku': 'STORAGE-256GB'}]"
"Samsung Galaxy Tab S6 Lite (2024) 10.4 64GB WiFi Android Student Tablet, S Pen for Note-Taking, Gaming Ready, Long Battery Life, Expandable Storage, US Version, Oxford Gray, Amazon Exclusive",Single Product,199.2,249.0,AMZ-TAB-0004,In Stock,27,0.0,%,['https://m.media-amazon.com/images/I/71-hJGtkLWL._AC_UY218_.jpg'],[],Electronics,Smartphones,24 hr(s),0.0,0.0,0.0,0.0,"Quality Samsung Galaxy Tab S6 Lite (2024) 10.4 64GB WiFi Android Student Tablet, S Pen for Note-Taking, Gaming Ready, Long Battery Life, Expandable Storage, US Version, Oxford Gray, Amazon Exclusive from Amazon with fast shipping and customer support","Buy Samsung Galaxy Tab S6 Lite (2024) 10.4 64GB WiFi Android Student Tablet, S Pen for Note-Taking, Gaming Ready, Long Battery Life, Expandable Storage, US Version, Oxford Gray, Amazon Exclusive from Amazon at competitive prices",4.5,2890,Amazon,Amazon,https://www.amazon.com/SAMSUNG-Android-Included-Expandable-Exclusive/dp/B0CWS8MNW1/ref=sr_1_4?dib=eyJ2IjoiMSJ9.4VirNKRKWfSWgTSts3uKc0ZQx_IY2rpqfPFM3DPtkatpEZcD3fb4LHMZMFwNRMGA0ahWIWi3w-k1EIPgNWgUoke4gciyxDTVA5-lJ8I-GhbkUSybgMh7ZRQGybddrKYmI_Tl3S8WOXb4wpLXxCt68c3-TqSHHhWfmHFHAXB6wKyhlop0txpPpe3RNFRRVWoL_QQ8MeoGV5lNng9G5w1V1a9lwQN3HVs9_JAZUtHtRy8.ST9bmpAaEoWp2ImI3uCB0p2hgz1IV-1GSQF32zlXqZQ&dib_tag=se&keywords=tablet&qid=1757604728&sr=8-4,amazon_tablet_4,2025-09-11T20:32:29.953238,"Samsung Galaxy Tab S6 Lite (2024) 10.4 64GB WiFi Android Student Tablet, S Pen for Note-Taking, Gaming Ready, Long Battery Life, Expandable Storage, US Version, Oxford Gray, Amazon Exclusive","[{'storage': '64GB', 'price': 131.16, 'stock': 22, 'sku': 'STORAGE-64GB'}, {'storage': '128GB', 'price': 132.42, 'stock': 10, 'sku': 'STORAGE-128GB'}, {'storage': '256GB', 'price': 132.42, 'stock': 11, 'sku': 'STORAGE-256GB'}]"
"Android 14 Tablet,10 inch Tablets, Octa Core CPU, 10GB64GB512GB Expansion, 1280x800 HD IPS Touchcreen Display , Wi-Fi6, Dual Camera, 6000mAh Battery, Bluetooth5, 2 in 1 Tablet PC,Widevine L1",Single Product,51.2,64.0,AMZ-TAB-0005,In Stock,72,0.0,%,['https://m.media-amazon.com/images/I/71hutJORSWL._AC_UY218_.jpg'],[],Electronics,Tablets,24 hr(s),0.0,0.0,0.0,0.0,"Quality Android 14 Tablet,10 inch Tablets, Octa Core CPU, 10GB64GB512GB Expansion, 1280x800 HD IPS Touchcreen Display , Wi-Fi6, Dual Camera, 6000mAh Battery, Bluetooth5, 2 in 1 Tablet PC,Widevine L1 from Amazon with fast shipping and customer support","Buy Android 14 Tablet,10 inch Tablets, Octa Core CPU, 10GB64GB512GB Expansion, 1280x800 HD IPS Touchcreen Display , Wi-Fi6, Dual Camera, 6000mAh Battery, Bluetooth5, 2 in 1 Tablet PC,Widevine L1 from Amazon at competitive prices",4.3,821,Amazon,Amazon,https://www.amazon.com/Expansion-1280x800-Touchcreen-Bluetooth5-Widevine/dp/B0DFHCTNFP/ref=sr_1_5?dib=eyJ2IjoiMSJ9.4VirNKRKWfSWgTSts3uKc0ZQx_IY2rpqfPFM3DPtkatpEZcD3fb4LHMZMFwNRMGA0ahWIWi3w-k1EIPgNWgUoke4gciyxDTVA5-lJ8I-GhbkUSybgMh7ZRQGybddrKYmI_Tl3S8WOXb4wpLXxCt68c3-TqSHHhWfmHFHAXB6wKyhlop0txpPpe3RNFRRVWoL_QQ8MeoGV5lNng9G5w1V1a9lwQN3HVs9_JAZUtHtRy8.ST9bmpAaEoWp2ImI3uCB0p2hgz1IV-1GSQF32zlXqZQ&dib_tag=se&keywords=tablet&qid=1757604728&sr=8-5,amazon_tablet_5,2025-09-11T20:32:37.108811,"Android 14 Tablet,10 inch Tablets, Octa Core CPU, 10GB64GB512GB Expansion, 1280x800 HD IPS Touchcreen Display , Wi-Fi6, Dual Camera, 6000mAh Battery, Bluetooth5, 2 in 1 Tablet PC,Widevine L1","[{'storage': '64GB', 'price': 206.94, 'stock': 23, 'sku': 'STORAGE-64GB'}, {'storage': '128GB', 'price': 208.93, 'stock': 14, 'sku': 'STORAGE-128GB'}, {'storage': '256GB', 'price': 208.93, 'stock': 22, 'sku': 'STORAGE-256GB'}]"
